# Pathway	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
UNMAPPED	305.366852101247	207.64419965691553	45.34447399799009	301.02777483887627	2497.478107485083	1116.6965190066553	1619.3497195556392	68.93585850319779	33.635860331558696	122.89368350525731	161.35184745760034	766.0805169332381	11.720073499619227	1471.9237227922529	117.09530222114509	78.23197059016339	32.51961471931043	12.400229645046851	510.1760569958032	165.66653634571168
UNINTEGRATED	21.435719163569317	21.271791279391156	89.68674170533656	1814.440233678629	100.54576258408785	15.569059358720809	102.65618591707148	98.5845588489116	2.597813255559256	136.80515677795685	104.96198161010267	421.70648852331	2376.618938160122	804.199637996257	99.15328283171895	28.225085433020478	7044.762450423501	162.19959601551926	151.5467166086763	143.1384536704457
GLYCOLYSIS	199.76209652821154	119.51709100580078	62.77186664122674	65.34700364501583	141.29785296076622	65.68449123078152	50.944220881555275	174.10269765926026	101.24407379649773	1416.5639756889786	2.7830439852916946	763.0017141571421	962.1090374125982	6.618803751220681	88.76288570685495	85.01593427720945	17.970516773016996	46.21363889110121	28.054140480862696	2055.7698201660105
PENTOSE_PHOSPHATE_PATHWAY	603.9658096067093	999.5774528073223	438.12668164789903	27.287325941726884	67.57375044288794	309.22273480554566	23.73161882598241	432.46337696913656	103.49382020543761	84.58600172480067	431.14305634502585	288.99083281010184	86.36225796567327	844.7111250365846	29.323962325687187	373.8682304809931	361.27949637288026	93.28696066654872	242.06336563839915	22.72190950468759
TCA_CYCLE	593.5019673136937	112.46553232141368	67.75616617161121	715.8809189085434	51.59808008735312	17.94493774630257	14.368757618094717	368.3431317692808	21.74439387105179	2063.566907562791	6.534565705508471	1890.6662372796836	203.67512518016449	128.3717475252304	65.53742606639656	270.0762081359671	140.26702765845366	776.6212835794008	176.15098084218474	185.94531817669213
Nucleotide_synthesis_superpathway	86.0201595090662	136.26228088516012	235.49805475015455	11.412935567446672	19.64301622687865	452.5490436546524	191.77027229566065	112.6206391928985	152.5741793268432	249.97791102096858	66.0465951156556	46.17982026641275	199.09216986483	34.20736027310249	273.7948582806921	11.543524075760486	694.8760303022325	301.5380539481713	217.90182154707384	648.094472044645
Amino_acid_biosynthesis	1804.811921447471	679.6344618466464	9.38102144366514	21.772213569660373	58.13524657058606	154.3366993643171	322.6243136692454	49.968073939157314	196.3993618572242	47.79521842146439	59.306759963123106	17.99345993137984	37.15692390688432	19.540184555406817	34.335854212596544	720.8727962713239	35.72681998275136	7696.9012921633785	311.05721033464164	195.83141969697064
Lipid_biosynthesis	40.95456697527021	424.3102117107614	62.58610324955186	178.21928351844988	6905.868300059968	128.49759014358813	832.0645229430773	51.68850220590631	140.82489853193158	2113.7120653774564	57.94819451083997	2249.971519223344	429.07335851687617	63.83488553668862	383.2209089152718	638.3148611872703	377.17713956884404	14.078698637780368	49.86374752704771	102.38313959670026
SUGAR_UTILIZATION	132.73436247034942	376.5339238341353	193.74667395454358	20.02503942887183	262.5119950743347	370.88002142735075	343.6712981381043	750.8238635208121	518.4705521899964	295.52993034564327	133.58679719280323	12.287206507385562	282.7116090309668	202.6603714202865	223.0438203111073	21.86478028856661	29.324260868234575	720.3442912430172	139.86354506785818	412.5061216626565
VITAMIN_B12_SYNTHESIS	154.8531988897284	155.18752265353257	606.3307983280783	68.43832041061209	171.43105350780235	74.1868615875979	77.3434318586213	93.33935355510171	207.09976992218208	72.37616753480846	976.1674978715254	38.78715156942812	112.13377001808244	76.73849036791349	1300.4515464079388	199.30417289712352	697.6843704795048	15.98513839765392	221.53384985031207	563.6571594965521
METHANE_METABOLISM	167.90964106618824	733.7882964800004	68.31076207783013	1229.0799499258308	4667.352089329325	86.12004192704555	76.07701769671671	1313.0089827544678	1586.61519609628	67.74224303591853	79.02148475020073	97.25370570508996	19.75337244440464	37.41314376597605	32.91040436491113	46.91341423420389	140.8890454530042	210.8869269925922	1518.9137788810197	33.1973129993235
SULFATE_REDUCTION	649.6823802634316	107.66415796643501	137.80014840265895	408.392710925265	27.547642704043582	263.384415074365	190.50497549688788	310.6531125740512	229.00709047818276	5901.4313954448435	57.01931235084375	66.92044778855745	58.281761774837534	64.50768224349272	57.049499829561086	883.1762609085619	1249.8219397939238	63.047005004770504	42.58349088889013	301.0039340447584
NITRATE_REDUCTION	64.82332119385987	383.52228423166963	201.21712145038256	15.277540786659252	1512.104702451521	2194.7348251931376	59.19380932880933	82.96739174794075	227.87519439763193	245.10463107258064	398.5434033089231	3026.9379444959677	113.81555036054358	44.815503202808955	18.74676413353786	49.58086336785932	141.21867008119008	2190.39417517011	68.2776890014215	207.61427842319105
POLYAMINE_BIOSYNTHESIS	144.8017630867379	882.3509771880636	6570.851049685673	66.93331602906454	71.22478317994107	710.6935438676026	412.74799884394315	2368.615742517945	356.34247540747873	86.57939583003478	359.9561599213861	782.9394567746123	508.122861557374	317.63757979378397	735.1040357127898	857.4332947785108	1179.9631481094261	392.70741024057116	115.50604653277678	184.94722787393806
SHORT_CHAIN_FATTY_ACID_PRODUCTION	906.6563118132763	43.5799199873099	258.01299795144064	82.26878737613127	154.95228555546038	1009.971906307127	197.67981029638023	159.1193933861514	19.30213648579655	454.5829244638387	390.81186156300606	3808.086400870899	93.53471469713757	206.1750347974956	215.74033366780878	1581.5804638634302	128.645003677325	225.54784032422873	369.38695923168365	196.3529263653671
