Kingdom	Phylum	Class	Order	Family	Genus	Species	u7_U_PC	u8_U_PC	u9_U_PCD	u10_U_PC	u11_U_PC	u12_U_PCD	u13_U_PC	u14_U_PCD	u15_U_PC	u17_U_PC	u18_U_PCD	u19_U_PCD	u20_U_PCD	u21_U_PC	u22_U_PC	u23_U_PC	u24_U_PCD	u25_U_PC	u26_U_PC	u27_U_PCD	u28_U_PCD	u29_U_PC	u30_U_PC	u31_U_PC	u32_U_PCD	u33_U_PCD	u34_U_PCD	u35_U_PCD	u36_U_PCD	u37_U_PCD	u38_U_PCD	u39_U_PC	u40_U_PCD	u41_U_PCD	u42_U_PC	u43_U_PC	u44_U_PCD	u45_U_PCD	u46_U_PCD	u47_U_PC	u49_U_PC	u50_U_PC	u51_U_PCD	u52_U_N	u53_U_P	u54_U_N	u55_U_P	u56_U_N	u57_U_N	u58_U_N	u59_U_N	u60_U_N	u61_U_N	u62_U_P	u63_U_N	u64_U_N	u65_U_P	u66_U_N	u67_U_P	u68_U_N	u69_U_N	u70_U_N	u71_U_N	u72_U_N	u73_U_N	u74_U_N	u75_U_P	u76_U_PD	u77_U_P	u78_U_N	u79_U_N	u80_U_N	u81_U_N	u82_U_N	u83_U_N	u84_U_PD	u85_U_PD	u86_U_P	u87_U_P	u88_U_P	u89_U_N	u90_U_N	u91_U_N	u92_U_N	u93_U_N	u94_U_P	u95_U_N	u96_U_N	u97_U_P	u98_U_PD	u99_U_N	u100_U_PD	u101_U_N	u102_U_N	u103_U_PD	u1_U_PC	u2_U_PCD	u3_U_PC	u4_U_PC	u5_U_PCD	u6_U_PC
Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13_2_20CM_66_19	13_2_20CM_66_19_sp021817875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000151738	0	0	0	0	0	0	0	0	6.29e-05	0	0.000212321	0	0	0	0	0	0	0	0	0	0	0	0	0.00015203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56e-05	0	0	0	0.000776531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910577785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001830958	0	0	0	0	7.97e-05	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910580195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001361865	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910587895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910588845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001169348	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42_69	1XD42_69_sp011959925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002272494	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42_69	1XD42_69_sp022794015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158417	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp003611955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001001308	0	0	0	0	0.000439409	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp014804795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp021769625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
