# Pathway	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
UNMAPPED	450000.0	420000.0	480000.0	400000.0	460000.0	430000.0	490000.0	410000.0	440000.0	450000.0	420000.0	500000.0	390000.0	470000.0	430000.0	480000.0	410000.0	460000.0	440000.0	470000.0
UNINTEGRATED	89000.0	84000.0	95000.0	79000.0	91000.0	85000.0	96000.0	80000.0	87000.0	89000.0	84000.0	98000.0	77000.0	93000.0	85000.0	96000.0	80000.0	91000.0	88000.0	93000.0
GLYCOLYSIS	12500.0	11800.0	13200.0	11000.0	12800.0	12000.0	13500.0	11200.0	12200.0	12500.0	11800.0	13800.0	10800.0	13000.0	12000.0	13400.0	11200.0	12800.0	12400.0	13000.0
GLYCOLYSIS|g__Bacteroides.s__Bacteroides_vulgatus	5200.0	4900.0	5500.0	4600.0	5300.0	5000.0	5600.0	4700.0	5100.0	5200.0	4900.0	5700.0	4500.0	5400.0	5000.0	5600.0	4700.0	5300.0	5200.0	5400.0
GLYCOLYSIS|g__Bacteroides.s__Bacteroides_uniformis	3800.0	3600.0	4000.0	3300.0	3900.0	3600.0	4100.0	3400.0	3700.0	3800.0	3600.0	4200.0	3200.0	4000.0	3600.0	4000.0	3400.0	3900.0	3700.0	3900.0
GLYCOLYSIS|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2800.0	2600.0	3000.0	2400.0	2900.0	2600.0	3100.0	2500.0	2700.0	2800.0	2600.0	3200.0	2300.0	3000.0	2600.0	3000.0	2500.0	2900.0	2700.0	2900.0
TCA	8900.0	8400.0	9400.0	7800.0	9100.0	8500.0	9600.0	8000.0	8700.0	8900.0	8400.0	9800.0	7600.0	9200.0	8500.0	9600.0	8000.0	9100.0	8800.0	9200.0
TCA|g__Escherichia.s__Escherichia_coli	3700.0	3500.0	4000.0	3200.0	3800.0	3500.0	4100.0	3300.0	3600.0	3700.0	3500.0	4200.0	3100.0	3900.0	3500.0	4000.0	3300.0	3800.0	3600.0	3900.0
TCA|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3200.0	3000.0	3400.0	2700.0	3200.0	3000.0	3500.0	2800.0	3100.0	3200.0	3000.0	3600.0	2600.0	3300.0	3000.0	3400.0	2800.0	3200.0	3000.0	3300.0
PENTOSE_PHOSPHATE_PATHWAY	6500.0	6100.0	6900.0	5700.0	6600.0	6200.0	7000.0	5800.0	6300.0	6500.0	6100.0	7200.0	5600.0	6700.0	6200.0	7000.0	5800.0	6600.0	6400.0	6700.0
PENTOSE_PHOSPHATE_PATHWAY|g__Bacteroides.s__Bacteroides_vulgatus	2700.0	2500.0	2900.0	2400.0	2800.0	2600.0	3000.0	2400.0	2600.0	2700.0	2500.0	3000.0	2300.0	2800.0	2600.0	2900.0	2400.0	2800.0	2600.0	2800.0
PENTOSE_PHOSPHATE_PATHWAY|g__Bifidobacterium.s__Bifidobacterium_longum	2100.0	2000.0	2300.0	1800.0	2200.0	2000.0	2400.0	1900.0	2100.0	2100.0	2000.0	2500.0	1700.0	2200.0	2000.0	2300.0	1900.0	2200.0	2100.0	2200.0
FATTY_ACID_BIOSYNTHESIS	4500.0	4200.0	4800.0	3900.0	4600.0	4300.0	4900.0	4000.0	4400.0	4500.0	4200.0	5000.0	3800.0	4600.0	4300.0	4900.0	4000.0	4600.0	4400.0	4600.0
FATTY_ACID_BIOSYNTHESIS|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1900.0	1800.0	2000.0	1600.0	1900.0	1800.0	2100.0	1700.0	1800.0	1900.0	1800.0	2100.0	1600.0	2000.0	1800.0	2000.0	1700.0	1900.0	1800.0	2000.0
FATTY_ACID_BIOSYNTHESIS|g__Roseburia.s__Roseburia_intestinalis	1500.0	1400.0	1600.0	1300.0	1500.0	1400.0	1700.0	1300.0	1500.0	1500.0	1400.0	1700.0	1200.0	1600.0	1400.0	1600.0	1300.0	1500.0	1500.0	1600.0
LIPOPOLYSACCHARIDE_BIOSYNTHESIS	3400.0	3200.0	3600.0	3000.0	3500.0	3300.0	3700.0	3100.0	3300.0	3400.0	3200.0	3800.0	2900.0	3500.0	3300.0	3700.0	3100.0	3500.0	3300.0	3500.0
LIPOPOLYSACCHARIDE_BIOSYNTHESIS|g__Escherichia.s__Escherichia_coli	1500.0	1400.0	1600.0	1300.0	1500.0	1400.0	1700.0	1300.0	1500.0	1500.0	1400.0	1700.0	1200.0	1600.0	1400.0	1600.0	1300.0	1500.0	1400.0	1500.0
LIPOPOLYSACCHARIDE_BIOSYNTHESIS|g__Bacteroides.s__Bacteroides_vulgatus	1200.0	1100.0	1300.0	1000.0	1200.0	1100.0	1300.0	1100.0	1200.0	1200.0	1100.0	1400.0	900.0	1200.0	1100.0	1300.0	1000.0	1200.0	1100.0	1200.0
METHIONINE_BIOSYNTHESIS	2100.0	2000.0	2300.0	1800.0	2200.0	2000.0	2400.0	1900.0	2100.0	2100.0	2000.0	2500.0	1700.0	2200.0	2000.0	2300.0	1900.0	2200.0	2100.0	2200.0
