# Gene Family	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
UNMAPPED	24.444848387164136	77.42904644135426	377.1100858566191	8.604389336836858	69.36243326029172	15.48361755602516	469.2257200368271	3.519305156452428	19.96420010623949	107.66035118569769	914.1029963900116	48.504158186313965	20.098412904094825	1613.373689678198	4.0292287450776225	1.043050171660692	120.54534751904681	22.11602361303609	8.686594099738928	195.39860592956495
UNINTEGRATED	84.67676854765892	19.779745600756986	5.449108854623774	262.54518246709296	175.97855135763913	45.67190986800244	1516.1759066568936	7.955371975134849	3.504523954661364	15.714211189095618	50.29698679101321	84.60649263659558	35.36685548650711	102.89403926679334	5.738678954002633	734.1961941146623	47.09316524367348	407.9450552614176	101.18045678988587	124.23262230572578
UniRef90_AAA00001: Bacteroides thetaiotaomicron hypothetical protein	152.2587086183616	122.22644221051895	173.62554981691324	597.3328849581438	77.76862758592785	195.62640896770847	46.454612018273444	729.391764707994	16.15926963622308	1396.45586271495	50.79082300920078	4.156215049266006	68.75764613278234	16.024311159964586	247.93296028242088	16.8656133699889	24.455859026847968	1.8199821335286948	24.187806084146864	0.6955984060830396
UniRef90_AAA00002: Faecalibacterium prausnitzii butyrate kinase	3.154957160856947	214.5936803082845	224.62678363465537	117.42779231748767	9.57775232040381	50.1049376410666	54.24524992695798	6.786555749273845	817.3904953694971	264.87343894994655	36.68120458064767	57.3053799472483	79.44691432702412	1.3838607484287548	34.9906439997921	15.9974343075607	8.998734732623703	32.91799513417369	1388.3006834441317	173.0390255514851
UniRef90_AAA00003: Bifidobacterium longum beta-galactosidase	19.528556268867096	153.03229942128596	677.7915456376871	288.3977573619232	60.78449049305985	17.03915277060154	191.86691190299914	110.86061524893132	273.5126289319488	171.2816440811256	361.11442958841764	20.833798986802496	584.8230472503355	77.91973734085285	2288.082868801277	15.791343773089851	1242.318717226394	77.96339410874369	16.902264271118497	22.851242647910006
UniRef90_AAA00004: Escherichia coli K-12 hypothetical protein	30.672756348545725	117.15510065447069	139.92462411808498	19.440139849496497	52.25636668906812	2581.398655349781	1223.6307052868415	119.74717023582244	58.46371238747829	67.76571496686744	164.73404927062595	8.6622402859172	34.35412959806918	2.7089163038051316	112.01150852341053	175.02917800192324	22.88002748689375	928.1340510550868	6.011184435569954	3.912299136451791
UniRef90_AAA00005: Lachnospiraceae bacterium acetyl-CoA transferase	81.77841008725066	359.5225656390966	1131.2402142886694	23.903104044326277	380.55301604687054	50.94184840913225	40.01565930407635	267.8930644067057	176.65190912675087	3.197899274233337	778.8142957906792	654.6916997780403	17.707479789329863	111.32416606527413	132.8544722185218	87.287980982586	20.27625958450568	16.29857918927729	52.143663678551945	450.74971719206974
UniRef90_AAA00006: Bacteroides uniformis alpha-L-fucosidase	145.25346898006217	28.019318038937918	218.9969229293813	0.3238817764964168	431.7204449794904	2.3833693938246463	28.434588398267095	7.276094072136296	5.309901810769493	441.19555709512696	23.526744494410472	101.87096741440477	50.176307744879004	128.85316355156846	62.69485606911947	5.422809268860914	328.0874783148472	22.448822216820655	3.3139889425528133	25.26430955532372
UniRef90_AAA00007: Clostridium sporogenes choline trimethylamine-lyase	813.5176502801237	252.24457077335393	29.149161811652604	29.117405782682297	30.601741154355885	2294.215812971032	108.57962925851082	118.40073911359893	348.8040200207706	83.91635141895733	34.251286893072574	38.34293442698292	47.99600282948631	51.059926599717215	202.2962442084948	59.94950319518649	204.12899837789385	47.21492998443357	62.899822550705835	1.4966642042870677
UniRef90_AAA00008: Akkermansia muciniphila mucin-desulfating sulfatase	284.11804819744384	101.86814252082281	329.11860843182023	0.29722683402921807	2342.735326468827	42.46748266516745	401.3079429511812	8.399476069068303	164.51356504950616	8.197686548947393	17.764744919073884	1711.7241852227992	38.73608825737562	80.75171269503709	261.4183284551082	133.25004467936327	71.5755853623737	105.3122560852139	4130.476495152355	49.219316849679
